name,N,sd size,depth,attractors,motif-avoidant-attractors,minimal trapspaces
n10_61.bnet,10,2,1,1,0,1
n10_62.bnet,10,3,1,2,0,2
n10_63.bnet,10,3,1,2,0,2
n10_64.bnet,10,3,1,2,0,2
n10_65.bnet,10,2,1,1,0,1
n10_66.bnet,10,3,1,2,0,2
n10_67.bnet,10,9,2,4,0,4
n10_68.bnet,10,11,3,5,0,5
n10_69.bnet,10,1,0,1,0,1
n10_7.bnet,10,1,0,1,0,1
n10_70.bnet,10,3,1,2,0,2
n10_71.bnet,10,7,2,4,0,4
n10_72.bnet,10,1,0,1,0,1
n10_73.bnet,10,3,2,1,0,1
n10_74.bnet,10,2,1,1,0,1
n10_75.bnet,10,11,3,4,0,4
n10_76.bnet,10,5,2,2,0,2
n10_77.bnet,10,5,2,3,0,3
n10_78.bnet,10,1,0,1,0,1
n10_79.bnet,10,1,0,1,0,1
n10_8.bnet,10,1,0,1,0,1
n10_80.bnet,10,2,1,1,0,1
n10_81.bnet,10,3,1,2,0,2
n10_82.bnet,10,1,0,1,0,1
n10_83.bnet,10,3,1,2,0,2
n10_84.bnet,10,5,2,2,0,2
n10_85.bnet,10,1,0,1,0,1
n10_86.bnet,10,12,4,3,0,3
n10_87.bnet,10,3,1,2,0,2
n10_88.bnet,10,1,0,1,0,1
n10_89.bnet,10,3,1,2,0,2
n10_9.bnet,10,1,0,1,0,1
n10_90.bnet,10,1,0,1,0,1
n10_91.bnet,10,5,2,2,0,2
n10_92.bnet,10,3,1,2,0,2
n10_93.bnet,10,3,1,2,0,2
n10_94.bnet,10,3,1,2,0,2
n10_95.bnet,10,2,1,1,0,1
n10_96.bnet,10,3,2,1,0,1
n10_97.bnet,10,11,4,3,0,3
n10_98.bnet,10,3,1,2,0,2
n10_99.bnet,10,3,1,2,0,2
n1280_0.bnet,1280,29,4,8,0,8
n1280_1.bnet,1280,6,2,2,0,2
n1280_10.bnet,1280,1,0,1,0,1
n1280_11.bnet,1280,5,2,2,0,2
n1280_12.bnet,1280,1,0,,,1
n1280_13.bnet,1280,8,3,,,3
n1280_14.bnet,1280,9,2,4,0,4
n1280_15.bnet,1280,1,0,1,0,1
n1280_16.bnet,1280,5,2,2,0,2
n1280_17.bnet,1280,163,5,32,0,32
n1280_18.bnet,1280,,,,,
n1280_19.bnet,1280,3,1,2,0,2
n1280_2.bnet,1280,10,3,,,2
n1280_20.bnet,1280,2,1,1,0,1
n1280_21.bnet,1280,2,1,1,0,1
n1280_22.bnet,1280,28,4,8,0,10
n1280_23.bnet,1280,27,3,8,0,8
n1280_24.bnet,1280,6,2,,,2
n1280_25.bnet,1280,18,3,6,0,6
n1280_26.bnet,1280,3,1,2,0,2
n1280_27.bnet,1280,5,2,,,2
n1280_28.bnet,1280,61,4,16,0,16
n1280_29.bnet,1280,7,2,,,4
n1280_3.bnet,1280,17,4,,,2
n1280_30.bnet,1280,6,2,3,0,3
n1280_31.bnet,1280,4,2,,,2
n1280_32.bnet,1280,5,2,,,2
n1280_33.bnet,1280,12,3,,,2
n1280_34.bnet,1280,3,1,2,0,2
n1280_35.bnet,1280,3,1,2,0,2
n1280_36.bnet,1280,15,3,4,0,4
n1280_37.bnet,1280,1,0,1,0,1
n1280_38.bnet,1280,6,2,3,0,3
n1280_39.bnet,1280,7,3,,,3
n1280_4.bnet,1280,3,1,2,0,2
n1280_40.bnet,1280,54,5,4,0,4
n1280_41.bnet,1280,6,2,3,0,3
n1280_42.bnet,1280,9,2,,,4
n1280_43.bnet,1280,3,1,2,0,2
n1280_44.bnet,1280,1,0,,,1
n1280_45.bnet,1280,12,3,,,4
n1280_46.bnet,1280,5,2,,,2
n1280_47.bnet,1280,7,2,4,0,4
n1280_48.bnet,1280,85,7,,,7
n1280_49.bnet,1280,25,5,,,4
n1280_5.bnet,1280,3,1,,,2
n1280_50.bnet,1280,6,2,,,2
n1280_51.bnet,1280,1,0,1,0,1
n1280_52.bnet,1280,3,1,2,0,2
n1280_53.bnet,1280,3,1,2,0,2
n1280_54.bnet,1280,9,2,4,0,4
n1280_55.bnet,1280,110,6,,,12
n1280_56.bnet,1280,4,2,2,0,2
n1280_57.bnet,1280,10,4,,,2
n1280_58.bnet,1280,3,1,2,0,2
n1280_59.bnet,1280,34,5,,,4
n1280_6.bnet,1280,2,1,1,0,1
n1280_60.bnet,1280,3,1,,,2
n1280_61.bnet,1280,3,2,,,1
n1280_62.bnet,1280,3,1,2,0,2
n1280_63.bnet,1280,3,1,2,0,2
n1280_64.bnet,1280,1,0,1,0,1
n1280_65.bnet,1280,19,3,8,0,8
n1280_66.bnet,1280,4,2,2,0,2
n1280_67.bnet,1280,9,3,4,0,4
n1280_68.bnet,1280,1,0,1,0,1
n1280_69.bnet,1280,93,6,,,12
n1280_7.bnet,1280,7,3,2,0,2
n1280_70.bnet,1280,1,0,1,0,1
n1280_71.bnet,1280,12,3,4,0,4
n1280_72.bnet,1280,12,3,4,0,4
n1280_73.bnet,1280,37,4,,,8
n1280_74.bnet,1280,9,2,4,0,4
n1280_75.bnet,1280,6,2,2,0,2
n1280_76.bnet,1280,5,2,2,0,2
n1280_77.bnet,1280,15,3,4,0,4
n1280_78.bnet,1280,1,0,1,0,1
n1280_79.bnet,1280,15,3,5,0,5
n1280_8.bnet,1280,18,3,,,6
n1280_80.bnet,1280,31,4,8,0,8
n1280_81.bnet,1280,17,4,,,4
n1280_82.bnet,1280,3,2,1,0,1
n1280_83.bnet,1280,11,4,2,0,2
n1280_84.bnet,1280,4,2,,,1
n1280_85.bnet,1280,12,4,,,2
n1280_86.bnet,1280,6,2,,,2
n1280_87.bnet,1280,1,0,1,0,1
n1280_88.bnet,1280,12,3,4,0,4
n1280_89.bnet,1280,18,3,,,4
n1280_9.bnet,1280,9,2,,,4
n1280_90.bnet,1280,3,2,1,0,1
n1280_91.bnet,1280,3,2,1,0,1
n1280_92.bnet,1280,1,0,,,1
n1280_93.bnet,1280,3,2,1,0,1
n1280_94.bnet,1280,3,1,2,0,2
n1280_95.bnet,1280,3,1,,,2
n1280_96.bnet,1280,27,4,,,8
n1280_97.bnet,1280,6,2,,,2
n1280_98.bnet,1280,8,3,4,0,4
n1280_99.bnet,1280,3,1,,,2
n160_0.bnet,160,1,0,1,0,1
n160_1.bnet,160,18,3,6,0,6
n160_10.bnet,160,24,3,8,0,8
n160_11.bnet,160,6,3,3,0,3
n160_12.bnet,160,2,1,1,0,1
n160_13.bnet,160,1,0,1,0,1
n160_14.bnet,160,7,3,3,0,3
n160_15.bnet,160,7,2,4,0,4
n160_16.bnet,160,4,2,2,0,2
n160_17.bnet,160,2,1,1,0,1
n160_18.bnet,160,7,3,2,0,2
n160_19.bnet,160,1,0,1,0,1
n160_2.bnet,160,3,2,1,0,1
n160_20.bnet,160,7,3,2,0,2
n160_21.bnet,160,3,1,2,0,2
n160_22.bnet,160,1,0,1,0,1
n160_23.bnet,160,3,1,2,0,2
n160_24.bnet,160,3,1,2,0,2
n160_25.bnet,160,3,2,1,0,1
n160_26.bnet,160,6,2,2,0,2
n160_27.bnet,160,2,1,1,0,1
n160_28.bnet,160,42,5,6,0,6
n160_29.bnet,160,1,0,1,0,1
n160_3.bnet,160,1,0,1,0,1
n160_30.bnet,160,7,2,4,0,4
n160_31.bnet,160,7,3,2,0,2
n160_32.bnet,160,1,0,1,0,1
n160_33.bnet,160,1,0,1,0,1
n160_34.bnet,160,19,4,6,0,6
n160_35.bnet,160,9,2,4,0,4
n160_36.bnet,160,23,5,4,0,4
n160_37.bnet,160,2,1,1,0,1
n160_38.bnet,160,7,2,4,0,4
n160_39.bnet,160,45,5,12,0,12
n160_4.bnet,160,3,1,2,0,2
n160_40.bnet,160,15,4,6,0,6
n160_41.bnet,160,1,0,1,0,1
n160_42.bnet,160,2,1,1,0,1
n160_43.bnet,160,3,1,2,0,2
n160_44.bnet,160,3,1,2,0,2
n160_45.bnet,160,3,1,2,0,2
n160_46.bnet,160,1,0,1,0,1
n160_47.bnet,160,5,2,,,2
n160_48.bnet,160,3,1,2,0,2
n160_49.bnet,160,18,3,4,0,4
n160_5.bnet,160,1,0,1,0,1
n160_50.bnet,160,5,2,2,0,2
n160_51.bnet,160,1,0,1,0,1
n160_52.bnet,160,4,2,2,0,2
n160_53.bnet,160,9,2,4,0,4
n160_54.bnet,160,3,2,1,0,1
n160_55.bnet,160,18,4,3,0,3
n160_56.bnet,160,3,1,2,0,2
n160_57.bnet,160,1,0,1,0,1
n160_58.bnet,160,30,5,9,0,9
n160_59.bnet,160,15,3,4,0,4
n160_6.bnet,160,14,5,3,0,3
n160_60.bnet,160,3,2,1,0,1
n160_61.bnet,160,3,1,2,0,2
n160_62.bnet,160,42,4,10,0,10
n160_63.bnet,160,10,3,2,0,2
n160_64.bnet,160,3,1,2,0,2
n160_65.bnet,160,3,1,2,0,2
n160_66.bnet,160,9,2,4,0,4
n160_67.bnet,160,3,1,2,0,2
n160_68.bnet,160,25,4,10,0,10
n160_69.bnet,160,2,1,1,0,1
n160_7.bnet,160,1,0,1,0,1
n160_70.bnet,160,9,3,3,0,3
n160_71.bnet,160,24,4,7,0,7
n160_72.bnet,160,17,4,4,0,4
n160_73.bnet,160,7,3,3,0,3
n160_74.bnet,160,7,3,2,0,2
n160_75.bnet,160,3,1,2,0,2
n160_76.bnet,160,2,1,1,0,1
n160_77.bnet,160,9,3,4,0,4
n160_78.bnet,160,7,3,3,0,3
n160_79.bnet,160,3,1,2,0,2
n160_8.bnet,160,3,1,2,0,2
n160_80.bnet,160,2,1,1,0,1
n160_81.bnet,160,9,2,4,0,4
n160_82.bnet,160,12,3,2,0,2
n160_83.bnet,160,5,2,3,0,3
n160_84.bnet,160,10,3,4,0,4
n160_85.bnet,160,1,0,1,0,1
n160_86.bnet,160,3,1,2,0,2
n160_87.bnet,160,9,2,4,0,4
n160_88.bnet,160,19,3,8,0,8
n160_89.bnet,160,9,3,2,0,2
n160_9.bnet,160,4,2,2,0,2
n160_90.bnet,160,15,3,4,0,4
n160_91.bnet,160,1,0,1,0,1
n160_92.bnet,160,9,2,4,0,4
n160_93.bnet,160,9,3,2,0,2
n160_94.bnet,160,9,3,3,0,3
n160_95.bnet,160,1,0,1,0,1
n160_96.bnet,160,1,0,1,0,1
n160_97.bnet,160,3,1,2,0,2
n160_98.bnet,160,18,4,4,0,4
n160_99.bnet,160,25,4,4,0,4
n20_0.bnet,20,14,3,6,0,6
n20_1.bnet,20,2,1,1,0,1
n20_10.bnet,20,2,1,1,0,1
n20_11.bnet,20,1,0,1,0,1
n20_12.bnet,20,2,1,1,0,1
n20_13.bnet,20,27,3,8,0,8
n20_14.bnet,20,3,1,2,0,2
n20_15.bnet,20,1,0,1,0,1
n20_16.bnet,20,1,0,1,0,1
n20_17.bnet,20,2,1,1,0,1
n20_18.bnet,20,1,0,1,0,1
n20_19.bnet,20,2,1,1,0,1
n20_2.bnet,20,1,0,1,0,1
n20_20.bnet,20,2,1,1,0,1
n20_21.bnet,20,6,2,2,0,2
n20_22.bnet,20,1,0,1,0,1
n20_23.bnet,20,4,2,2,0,2
n20_24.bnet,20,1,0,1,0,1
n20_25.bnet,20,2,1,1,0,1
n20_26.bnet,20,1,0,1,0,1
n20_27.bnet,20,1,0,1,0,1
n20_28.bnet,20,2,1,1,0,1
n20_29.bnet,20,25,4,6,0,6
n20_3.bnet,20,6,2,2,0,2
n20_30.bnet,20,5,2,3,0,3
n20_31.bnet,20,2,1,1,0,1
n20_32.bnet,20,27,4,8,0,8
n20_33.bnet,20,3,1,2,0,2
n20_34.bnet,20,4,2,1,0,1
n20_35.bnet,20,4,2,2,0,2
n20_36.bnet,20,6,3,2,0,2
n20_37.bnet,20,3,1,2,0,2
n20_38.bnet,20,2,1,1,0,1
n20_39.bnet,20,3,1,2,0,2
n20_4.bnet,20,2,1,1,0,1
n20_40.bnet,20,19,4,4,0,4
n20_41.bnet,20,1,0,1,0,1
n20_42.bnet,20,14,3,6,0,6
n20_43.bnet,20,7,3,2,0,2
n20_44.bnet,20,2,1,1,0,1
n20_45.bnet,20,19,3,8,0,8
n20_46.bnet,20,5,2,3,0,3
n20_47.bnet,20,5,2,2,0,2
n20_48.bnet,20,5,2,2,0,2
n20_49.bnet,20,25,3,12,0,12
n20_5.bnet,20,8,3,3,0,3
n20_50.bnet,20,3,1,2,0,2
n20_51.bnet,20,5,2,2,0,2
n20_52.bnet,20,27,3,8,0,8
n20_53.bnet,20,13,3,4,0,4
n20_54.bnet,20,14,3,5,0,5
n20_55.bnet,20,5,2,2,0,2
n20_56.bnet,20,7,2,3,0,3
n20_57.bnet,20,4,2,2,0,2
n20_58.bnet,20,4,2,1,0,1
n20_59.bnet,20,5,2,2,0,2
n20_6.bnet,20,5,2,2,0,2
n20_60.bnet,20,21,4,10,0,10
n20_61.bnet,20,2,1,1,0,1
n20_62.bnet,20,14,4,6,0,6
n20_63.bnet,20,3,1,2,0,2
n20_64.bnet,20,1,0,1,0,1
n20_65.bnet,20,9,2,4,0,4
n20_66.bnet,20,3,1,2,0,2
n20_67.bnet,20,1,0,1,0,1
n20_68.bnet,20,1,0,1,0,1
n20_69.bnet,20,2,1,1,0,1
n20_7.bnet,20,3,1,2,0,2
n20_70.bnet,20,1,0,1,0,1
n20_71.bnet,20,8,2,4,0,4
n20_72.bnet,20,1,0,1,0,1
n20_73.bnet,20,1,0,1,0,1
n20_74.bnet,20,3,2,1,0,1
n20_75.bnet,20,3,2,1,0,1
n20_76.bnet,20,1,0,1,0,1
n20_77.bnet,20,3,1,2,0,2
n20_78.bnet,20,3,1,2,0,2
n20_79.bnet,20,14,3,5,0,5
n20_8.bnet,20,8,3,4,0,4
n20_80.bnet,20,1,0,1,0,1
n20_81.bnet,20,2,1,1,0,1
n20_82.bnet,20,4,2,2,0,2
n20_83.bnet,20,3,1,2,0,2
n20_84.bnet,20,4,2,2,0,2
n20_85.bnet,20,2,1,1,0,1
n20_86.bnet,20,5,2,2,0,2
n20_87.bnet,20,1,0,1,0,1
n20_88.bnet,20,2,1,1,0,1
n20_89.bnet,20,2,1,1,0,1
n20_9.bnet,20,8,3,2,0,2
n20_90.bnet,20,5,2,2,0,2
n20_91.bnet,20,1,0,1,0,1
n20_92.bnet,20,3,2,1,0,1
n20_93.bnet,20,3,1,2,0,2
n20_94.bnet,20,2,1,1,0,1
n20_95.bnet,20,2,1,1,0,1
n20_96.bnet,20,2,1,1,0,1
n20_97.bnet,20,3,1,2,0,2
n20_98.bnet,20,12,3,5,0,5
n20_99.bnet,20,13,3,6,0,6
n2560_0.bnet,2560,1,0,,,1
n2560_1.bnet,2560,1,0,1,0,1
n2560_10.bnet,2560,3,1,2,0,2
n2560_11.bnet,2560,,,,,
n2560_12.bnet,2560,12,3,4,0,4
n2560_13.bnet,2560,,,,,
n2560_14.bnet,2560,36,4,,,4
n2560_15.bnet,2560,1,0,,,1
n2560_16.bnet,2560,9,3,,,2
n2560_17.bnet,2560,1,0,1,0,1
n2560_18.bnet,2560,2,1,,,1
n2560_19.bnet,2560,37,4,8,0,8
n2560_2.bnet,2560,21,4,,,4
n2560_20.bnet,2560,9,2,4,0,4
n2560_21.bnet,2560,20,4,,,5
n2560_22.bnet,2560,1,0,1,0,1
n2560_23.bnet,2560,19,3,8,0,8
n2560_24.bnet,2560,3,1,2,0,2
n2560_25.bnet,2560,4,2,,,1
n2560_26.bnet,2560,9,3,,,2
n2560_27.bnet,2560,,,,,
n2560_28.bnet,2560,9,2,4,0,4
n2560_29.bnet,2560,39,4,,,8
n2560_3.bnet,2560,1,0,,,1
n2560_30.bnet,2560,1,0,1,0,1
n2560_31.bnet,2560,1,0,1,0,1
n2560_32.bnet,2560,2,1,,,1
n2560_33.bnet,2560,1,0,,,1
n2560_34.bnet,2560,5,2,,,2
n2560_35.bnet,2560,12,3,,,4
n2560_36.bnet,2560,3,1,2,0,2
n2560_37.bnet,2560,135,5,,,24
n2560_38.bnet,2560,2,1,1,0,1
n2560_39.bnet,2560,7,2,4,0,4
n2560_4.bnet,2560,16,4,,,8
n2560_40.bnet,2560,2,1,1,0,1
n2560_41.bnet,2560,18,3,4,0,4
n2560_42.bnet,2560,7,2,,,4
n2560_43.bnet,2560,6,2,,,2
n2560_44.bnet,2560,9,2,4,0,4
n2560_45.bnet,2560,2,1,,,1
n2560_46.bnet,2560,27,3,,,8
n2560_47.bnet,2560,12,3,,,4
n2560_48.bnet,2560,1,0,1,0,1
n2560_49.bnet,2560,9,2,4,0,4
n2560_5.bnet,2560,5,2,2,0,2
n2560_50.bnet,2560,9,2,4,0,4
n2560_51.bnet,2560,12,3,,,4
n2560_52.bnet,2560,4,2,1,0,1
n2560_53.bnet,2560,15,3,,,4
n2560_54.bnet,2560,27,3,,,8
n2560_55.bnet,2560,3,1,2,0,2
n2560_56.bnet,2560,9,2,4,0,4
n2560_57.bnet,2560,3,1,2,0,2
n2560_58.bnet,2560,3,1,2,0,2
n2560_59.bnet,2560,,,,,
n2560_6.bnet,2560,12,3,,,2
n2560_60.bnet,2560,3,1,2,0,2
n2560_61.bnet,2560,9,3,,,2
n2560_62.bnet,2560,27,4,,,8
n2560_63.bnet,2560,1,0,,,1
n2560_64.bnet,2560,3,1,,,2
n2560_65.bnet,2560,6,2,2,0,2
n2560_66.bnet,2560,,,,,
n2560_67.bnet,2560,12,3,,,5
n2560_68.bnet,2560,1,0,1,0,1
n2560_69.bnet,2560,3,1,2,0,2
n2560_7.bnet,2560,2,1,,,1
n2560_70.bnet,2560,6,2,,,2
n2560_71.bnet,2560,1,0,,,1
n2560_72.bnet,2560,21,3,,,6
n2560_73.bnet,2560,5,3,2,0,2
n2560_74.bnet,2560,3,1,,,2
n2560_75.bnet,2560,5,2,,,2
n2560_76.bnet,2560,27,4,,,6
n2560_77.bnet,2560,1,0,1,0,1
n2560_78.bnet,2560,4,2,,,1
n2560_79.bnet,2560,3,1,2,0,2
n2560_8.bnet,2560,6,2,3,0,3
n2560_80.bnet,2560,3,1,,,2
n2560_81.bnet,2560,9,2,4,0,4
n2560_82.bnet,2560,3,1,2,0,2
n2560_83.bnet,2560,6,2,,,2
n2560_84.bnet,2560,3,2,,,1
n2560_85.bnet,2560,,,,,
n2560_86.bnet,2560,14,3,,,4
n2560_87.bnet,2560,11,3,,,6
n2560_88.bnet,2560,15,4,,,4
n2560_89.bnet,2560,7,3,2,0,2
n2560_9.bnet,2560,3,1,2,0,2
n2560_90.bnet,2560,24,4,,,2
n2560_91.bnet,2560,3,1,2,0,2
n2560_92.bnet,2560,6,2,2,0,2
n2560_93.bnet,2560,1,0,1,0,1
n2560_94.bnet,2560,,,,,
n2560_95.bnet,2560,12,3,,,4
n2560_96.bnet,2560,3,1,,,2
n2560_97.bnet,2560,2,1,1,0,1
n2560_98.bnet,2560,3,1,,,2
n2560_99.bnet,2560,27,4,,,6
n320_0.bnet,320,4,2,,,2
n320_1.bnet,320,2,1,1,0,1
n320_10.bnet,320,9,3,2,0,2
n320_11.bnet,320,1,0,1,0,1
n320_12.bnet,320,5,2,,,2
n320_13.bnet,320,2,1,,,1
n320_14.bnet,320,2,1,1,0,1
n320_15.bnet,320,3,1,2,0,2
n320_16.bnet,320,1,0,1,0,1
n320_17.bnet,320,27,4,6,0,6
n320_18.bnet,320,3,1,2,0,2
n320_19.bnet,320,27,3,8,0,8
n320_2.bnet,320,7,3,2,0,2
n320_20.bnet,320,1,0,1,0,1
n320_21.bnet,320,3,1,2,0,2
n320_22.bnet,320,11,3,4,0,4
n320_23.bnet,320,3,2,1,0,1
n320_24.bnet,320,18,3,6,0,6
n320_25.bnet,320,2,1,1,0,1
n320_26.bnet,320,36,4,8,0,8
n320_27.bnet,320,1,0,1,0,1
n320_28.bnet,320,3,1,2,0,2
n320_29.bnet,320,4,3,1,0,1
n320_3.bnet,320,2,1,1,0,1
n320_30.bnet,320,9,2,4,0,4
n320_31.bnet,320,6,2,2,0,2
n320_32.bnet,320,3,1,2,0,2
n320_33.bnet,320,2,1,,,1
n320_34.bnet,320,3,1,2,0,2
n320_35.bnet,320,6,3,3,0,3
n320_36.bnet,320,18,3,4,0,4
n320_37.bnet,320,3,1,2,0,2
n320_38.bnet,320,7,3,4,0,4
n320_39.bnet,320,2,1,1,0,1
n320_4.bnet,320,7,3,2,0,2
n320_40.bnet,320,3,2,1,0,1
n320_41.bnet,320,5,2,2,0,2
n320_42.bnet,320,6,3,2,0,2
n320_43.bnet,320,3,1,2,0,2
n320_44.bnet,320,3,1,2,0,2
n320_45.bnet,320,4,2,1,0,1
n320_46.bnet,320,11,4,,,2
n320_47.bnet,320,9,2,4,0,4
n320_48.bnet,320,13,2,8,0,8
n320_49.bnet,320,1,0,1,0,1
n320_5.bnet,320,31,4,8,0,8
n320_50.bnet,320,4,2,,,2
n320_51.bnet,320,9,3,2,0,2
n320_52.bnet,320,1,0,,,1
n320_53.bnet,320,2,1,1,0,1
n320_54.bnet,320,12,3,4,0,4
n320_55.bnet,320,18,3,4,0,4
n320_56.bnet,320,3,1,2,0,2
n320_57.bnet,320,3,1,2,0,2
n320_58.bnet,320,1,0,1,0,1
n320_59.bnet,320,15,3,6,0,6
n320_6.bnet,320,2,1,1,0,1
n320_60.bnet,320,3,1,2,0,2
n320_61.bnet,320,3,1,2,0,2
n320_62.bnet,320,18,3,4,0,4
n320_63.bnet,320,7,2,4,0,4
n320_64.bnet,320,1,0,1,0,1
n320_65.bnet,320,3,1,2,0,2
n320_66.bnet,320,9,2,4,0,4
n320_67.bnet,320,8,3,,,2
n320_68.bnet,320,2,1,1,0,1
n320_69.bnet,320,3,1,2,0,2
n320_7.bnet,320,3,1,2,0,2
n320_70.bnet,320,4,2,2,0,2
n320_71.bnet,320,9,2,4,0,4
n320_72.bnet,320,1,0,1,0,1
n320_73.bnet,320,3,1,2,0,2
n320_74.bnet,320,4,2,1,0,1
n320_75.bnet,320,3,1,2,0,2
n320_76.bnet,320,1,0,1,0,1
n320_77.bnet,320,27,3,8,0,8
n320_78.bnet,320,13,4,2,0,2
n320_79.bnet,320,2,1,1,0,1
n320_8.bnet,320,1,0,1,0,1
n320_80.bnet,320,2,1,1,0,1
n320_81.bnet,320,1,0,1,0,1
n320_82.bnet,320,2,1,,,1
n320_83.bnet,320,7,4,1,0,1
n320_84.bnet,320,321,8,28,0,28
n320_85.bnet,320,4,2,2,0,2
n320_86.bnet,320,12,3,2,0,2
n320_87.bnet,320,2,1,1,0,1
n320_88.bnet,320,3,1,2,0,2
n320_89.bnet,320,27,3,8,0,8
n320_9.bnet,320,102,6,8,0,8
n320_90.bnet,320,1,0,1,0,1
n320_91.bnet,320,1,0,1,0,1
n320_92.bnet,320,1,0,1,0,1
n320_93.bnet,320,1,0,1,0,1
n320_94.bnet,320,4,2,2,0,2
n320_95.bnet,320,11,3,4,0,4
n320_96.bnet,320,9,2,5,0,5
n320_97.bnet,320,9,3,3,0,3
n320_98.bnet,320,11,4,3,0,3
n320_99.bnet,320,3,1,2,0,2
n40_0.bnet,40,1,0,1,0,1
n40_1.bnet,40,3,1,2,0,2
n40_10.bnet,40,6,2,3,0,3
n40_11.bnet,40,1,0,1,0,1
n40_12.bnet,40,4,2,2,0,2
n40_13.bnet,40,4,2,2,0,2
n40_14.bnet,40,2,1,1,0,1
n40_15.bnet,40,2,1,1,0,1
n40_16.bnet,40,3,1,2,0,2
n40_17.bnet,40,5,2,2,0,2
n40_18.bnet,40,18,3,4,0,4
n40_19.bnet,40,1,0,1,0,1
n40_2.bnet,40,1,0,1,0,1
n40_20.bnet,40,1,0,1,0,1
n40_21.bnet,40,1,0,1,0,1
n40_22.bnet,40,2,1,1,0,1
n40_23.bnet,40,2,1,1,0,1
n40_24.bnet,40,2,1,1,0,1
n40_25.bnet,40,3,2,1,0,1
n40_26.bnet,40,5,1,4,0,4
n40_27.bnet,40,1,0,1,0,1
n40_28.bnet,40,3,1,2,0,2
n40_29.bnet,40,1,0,1,0,1
n40_3.bnet,40,1,0,1,0,1
n40_30.bnet,40,1,0,1,0,1
n40_31.bnet,40,3,1,2,0,2
n40_32.bnet,40,13,3,6,0,6
n40_33.bnet,40,5,2,3,0,3
n40_34.bnet,40,10,4,4,0,4
n40_35.bnet,40,11,3,4,0,4
n40_36.bnet,40,3,1,2,0,2
n40_37.bnet,40,8,2,4,0,4
n40_38.bnet,40,2,1,1,0,1
n40_39.bnet,40,10,3,4,0,4
n40_4.bnet,40,5,2,2,0,2
n40_40.bnet,40,1,0,1,0,1
n40_41.bnet,40,5,2,2,0,2
n40_42.bnet,40,6,2,3,0,3
n40_43.bnet,40,1,0,1,0,1
n40_44.bnet,40,3,1,2,0,2
n40_45.bnet,40,3,1,2,0,2
n40_46.bnet,40,7,4,2,0,2
n40_47.bnet,40,3,1,2,0,2
n40_48.bnet,40,3,1,2,0,2
n40_49.bnet,40,2,1,1,0,1
n40_5.bnet,40,2,1,1,0,1
n40_50.bnet,40,2,1,1,0,1
n40_51.bnet,40,5,2,2,0,2
n40_52.bnet,40,4,3,1,0,1
n40_53.bnet,40,3,1,2,0,2
n40_54.bnet,40,19,4,3,0,3
n40_55.bnet,40,3,1,2,0,2
n40_56.bnet,40,3,1,2,0,2
n40_57.bnet,40,7,2,4,0,4
n40_58.bnet,40,1,0,1,0,1
