model_name,n,sdsize,sddepth,att,maa,mintrap
n20_77.bnet,20,1,0,1,0,1
n20_73.bnet,20,1,0,1,0,1
n20_72.bnet,20,2,1,1,0,1
n20_7.bnet,20,1,0,1,0,1
n20_74.bnet,20,1,0,1,0,1
n20_75.bnet,20,4,2,2,0,2
n20_71.bnet,20,3,1,2,0,2
n20_76.bnet,20,7,2,4,0,4
n20_70.bnet,20,30,4,8,0,8
n20_82.bnet,20,1,0,1,0,1
n20_81.bnet,20,9,2,4,0,4
n20_84.bnet,20,3,1,2,0,2
n20_79.bnet,20,1,0,1,0,1
n20_85.bnet,20,1,0,1,0,1
n20_78.bnet,20,1,0,1,0,1
n20_8.bnet,20,3,1,2,0,2
n20_80.bnet,20,3,1,2,0,2
n20_83.bnet,20,3,1,2,0,2
n20_90.bnet,20,9,2,4,0,4
n20_89.bnet,20,1,0,1,0,1
n20_92.bnet,20,1,0,1,0,1
n20_87.bnet,20,1,0,1,0,1
n20_91.bnet,20,3,1,2,0,2
n20_9.bnet,20,3,1,2,0,2
n20_93.bnet,20,1,0,1,0,1
n20_88.bnet,20,3,1,2,0,2
n20_86.bnet,20,9,2,4,0,4
n20_94.bnet,20,1,0,1,0,1
n20_95.bnet,20,1,0,1,0,1
n20_99.bnet,20,1,0,1,0,1
n20_97.bnet,20,16,3,6,0,6
n20_96.bnet,20,1,0,1,0,1
n20_98.bnet,20,3,2,1,0,1
n320_0.bnet,320,1,0,1,0,1
n320_11.bnet,320,1,0,1,0,1
n320_16.bnet,320,1,0,1,0,1
n320_18.bnet,320,2,1,1,0,1
n320_12.bnet,320,3,1,2,0,2
n320_15.bnet,320,3,1,2,0,2
n320_14.bnet,320,3,1,2,0,2
n320_20.bnet,320,1,0,1,0,1
n320_22.bnet,320,1,0,1,0,1
n320_19.bnet,320,3,1,2,0,2
n320_23.bnet,320,1,0,1,0,1
n320_26.bnet,320,1,0,1,0,1
n320_2.bnet,320,3,1,2,0,2
n320_10.bnet,320,7,2,4,0,4
n320_1.bnet,320,6,2,3,0,3
n320_24.bnet,320,3,1,2,0,2
n320_30.bnet,320,1,0,1,0,1
n320_27.bnet,320,3,1,2,0,2
n320_25.bnet,320,3,1,2,0,2
n320_21.bnet,320,4,2,2,0,2
n320_33.bnet,320,2,1,1,0,1
n320_17.bnet,320,7,2,4,0,4
n320_32.bnet,320,5,3,1,0,1
n320_36.bnet,320,1,0,1,0,1
n320_3.bnet,320,3,1,2,0,2
n320_39.bnet,320,1,0,1,0,1
n320_35.bnet,320,2,1,1,0,1
n320_28.bnet,320,6,2,2,0,2
n320_41.bnet,320,1,0,1,0,1
n320_31.bnet,320,4,2,2,0,2
n320_29.bnet,320,5,2,2,0,2
n320_43.bnet,320,1,0,1,0,1
n320_37.bnet,320,3,2,1,0,1
n320_45.bnet,320,1,0,1,0,1
n320_46.bnet,320,1,0,1,0,1
n320_47.bnet,320,1,0,1,0,1
n320_49.bnet,320,1,0,1,0,1
n320_34.bnet,320,3,1,2,0,2
n320_50.bnet,320,1,0,1,0,1
n320_38.bnet,320,3,1,2,0,2
n320_52.bnet,320,1,0,1,0,1
n320_4.bnet,320,3,1,2,0,2
n320_40.bnet,320,3,1,2,0,2
n320_42.bnet,320,3,1,2,0,2
n320_56.bnet,320,1,0,1,0,1
n320_44.bnet,320,3,1,2,0,2
n320_53.bnet,320,2,1,1,0,1
n320_59.bnet,320,6,3,1,0,1
n320_48.bnet,320,6,2,2,0,2
n320_57.bnet,320,3,1,2,0,2
n320_58.bnet,320,3,1,2,0,2
n320_62.bnet,320,1,0,1,0,1
n320_60.bnet,320,3,1,2,0,2
n320_63.bnet,320,4,2,1,0,1
n320_65.bnet,320,2,1,1,0,1
n320_66.bnet,320,1,0,1,0,1
n320_67.bnet,320,1,0,1,0,1
n320_61.bnet,320,6,3,2,0,2
n320_69.bnet,320,1,0,1,0,1
n320_7.bnet,320,3,1,2,0,2
n320_70.bnet,320,1,0,1,0,1
n320_6.bnet,320,9,2,4,0,4
n320_68.bnet,320,7,3,1,0,1
n320_73.bnet,320,1,0,1,0,1
n320_72.bnet,320,3,2,1,0,1
n320_74.bnet,320,2,1,1,0,1
n320_71.bnet,320,3,1,2,0,2
n320_75.bnet,320,3,1,2,0,2
n320_54.bnet,320,18,4,6,0,6
n320_76.bnet,320,3,1,2,0,2
n320_55.bnet,320,18,3,4,0,4
n320_5.bnet,320,23,4,8,0,8
n320_8.bnet,320,3,1,2,0,2
n320_64.bnet,320,14,3,5,0,5
n320_77.bnet,320,2,1,1,0,1
n320_81.bnet,320,3,2,1,0,1
n320_79.bnet,320,4,2,2,0,2
n320_84.bnet,320,3,1,2,0,2
n320_87.bnet,320,2,1,1,0,1
n320_85.bnet,320,3,1,2,0,2
n320_80.bnet,320,7,2,4,0,4
n320_9.bnet,320,1,0,1,0,1
n320_82.bnet,320,6,2,3,0,3
n320_88.bnet,320,3,1,2,0,2
n320_78.bnet,320,9,2,4,0,4
n320_83.bnet,320,8,3,4,0,4
n320_90.bnet,320,5,2,2,0,2
n320_95.bnet,320,1,0,1,0,1
n320_94.bnet,320,6,2,3,0,3
n320_96.bnet,320,3,1,2,0,2
n320_92.bnet,320,9,3,3,0,3
n320_99.bnet,320,1,0,1,0,1
n40_0.bnet,40,3,1,2,0,2
n40_1.bnet,40,1,0,1,0,1
n40_10.bnet,40,3,1,2,0,2
n40_11.bnet,40,2,1,1,0,1
n40_12.bnet,40,2,1,1,0,1
n40_13.bnet,40,5,2,2,0,2
n40_14.bnet,40,1,0,1,0,1
n40_15.bnet,40,1,0,1,0,1
n40_16.bnet,40,3,1,2,0,2
n40_17.bnet,40,30,4,8,0,8
n40_18.bnet,40,1,0,1,0,1
n40_19.bnet,40,1,0,1,0,1
n40_2.bnet,40,1,0,1,0,1
n40_20.bnet,40,1,0,1,0,1
n40_21.bnet,40,1,0,1,0,1
n320_93.bnet,320,11,3,4,0,4
n40_22.bnet,40,1,0,1,0,1
n40_23.bnet,40,2,1,1,0,1
n40_24.bnet,40,3,1,2,0,2
n40_25.bnet,40,7,3,2,0,2
n40_26.bnet,40,5,2,2,0,2
n40_27.bnet,40,5,2,2,0,2
n40_28.bnet,40,1,0,1,0,1
n40_29.bnet,40,30,5,4,0,4
n40_3.bnet,40,3,1,2,0,2
